,Year,Waste received from other organizations,Waste generated during the year,Waste transmitted to other organizations,Treated and destructed by other organizations,Waste used by organizations ,Transported to landfills by means of organizations ,Generated per capita of marz in kg,Per square km of marz in kg,Solid waste transported into municipal landfills in thsd. tons
Syunik,2014,2 610.0,22 124 313.4,475.7,4.7,7 114.6,18 570 288.6,157 356.4,4 909 967.40,
Vayots Dzor,2014,285.2,146.3,-,-,-,431.5,2.8,63.4,
Tavush,2014,-,1348.1,20.1,-,29.1,1299.2,10.6,498.5,
Yerevan city,2015,16535.6,16535.6,3930.8,2.7,676.8,12033.6,,,
Aragatsotn,2015,1159,1159,237.8,1.7,14.5,904.9,,,
Ararat,2015,900.3,900.3,49.7,4,396.1,3346.5,,,
Armavir,2015,5233.6,5233.6,4412.6,284.7,46.1,743.8,,,
Gegharkunik,2015,25663129.5,25663129.5,20395.7,-,68.9,25643687.8,,,
Lori,2015,35487.7,35487.7,8839,1.7,34.4,7344.3,,,
Kotayk,2015,6013.9,6013.9,156.3,-,1945.3,7338.2,,,
Shirak,2015,2305,2305,411.2,2,-,2203.8,,,
Syunik,2015,21604078.9,21604078.9,787.5,0.8,1365.6,18068054.4,,,
Vayots Dzor,2015,2378.6,2378.6,-,-,-,603.3,,,
Tavush,2015,1290,1290,20,-,28.8,1241.2,,,
Yerevan city,2016,214.7,15766.1,5459.2,218.4,681.5,10965,14.7,70700,
Aragatsotn,2016,-,1171.2,307.4,4,15,862.5,9.1,425,
Ararat,2016,2.6,693.9,59.6,16,361,248.5,2.7,332,
Armavir,2016,378,13486.7,112.8,378.1,87.4,13275.6,50.7,10858.9,
Gegharkunik,2016,0.8,29291917.1,24223.1,-,617065.3,28650673,126665.6,7192436.6,
Lori,2016,120,94981.6,56705.8,1.7,8810,1334.2,425.9,25001.7,
Kotayk,2016,4785,4111.8,160,-,1741.9,10045.3,16.2,1971.1,
Shirak,2016,-,51890.4,51724.6,2,-,1759.9,215.1,19362.1,
Syunik,2016,744,25686423.3,1248.5,2,1254.6,19660649.1,184513,5700493.4,
Vayots Dzor,2016,-,602.6,-,-,12,590.6,11.9,261.1,
Tavush,2016,-,353,34,-,22,299.1,2.8,130.5,
Yerevan city,2017,135,84881.9,33874.5,1.2,200.3,50667.8,,,
Aragatsotn,2017,-,769.9,229.2,-,16,519.5,,,
Ararat,2017,3.9,2005.2,1522.1,-,-,32.4,,,
Armavir,2017,577,6978.6,6654.2,647.2,114.2,85,,,
Gegharkunik,2017,441,32253862.6,13002.5,-,268094.3,31973248,,,
Lori,2017,1531.2,2648.5,1514.8,2,152.5,2199.4,,,
Kotayk,2017,400,1652.9,155.7,-,1125.6,787.1,,,
Shirak,2017,-,16983,855.4,6,-,16773.2,,,
Syunik,2017,-,27250668.1,2181,4.4,60.7,24571786.9,,,
Vayots Dzor,2017,-,213,-,-,-,213,,,
Tavush,2017,-,1780.6,1764,-,16,0.6,,,
,,,,,,,,,,
